Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Income Rank (where 1 is most deprived)
E09000001,City of London,29199,32831
E09000001,City of London,30379,29901
E09000001,City of London,14915,18510
E09000001,City of London,8678,6029
E09000001,City of London,20391,32638
E09000001,City of London,18089,31774
E09000002,Barking and Dagenham,14486,14023
E09000002,Barking and Dagenham,7256,6261
E09000002,Barking and Dagenham,5010,3382
E09000002,Barking and Dagenham,6736,7506
E09000002,Barking and Dagenham,6900,8902
E09000002,Barking and Dagenham,7698,9033
E09000002,Barking and Dagenham,5990,4570
E09000002,Barking and Dagenham,4573,5966
E09000002,Barking and Dagenham,5650,6627
E09000002,Barking and Dagenham,6405,5755
E09000002,Barking and Dagenham,6739,6711
E09000002,Barking and Dagenham,4570,4033
E09000002,Barking and Dagenham,6504,5998
E09000002,Barking and Dagenham,6410,7049
E09000002,Barking and Dagenham,5520,5760
E09000002,Barking and Dagenham,4611,5007
E09000002,Barking and Dagenham,6098,6941
E09000002,Barking and Dagenham,5243,5088
E09000002,Barking and Dagenham,8333,10056
E09000002,Barking and Dagenham,5303,5570
E09000002,Barking and Dagenham,5097,5730
E09000002,Barking and Dagenham,4240,3610
E09000002,Barking and Dagenham,12389,14506
E09000002,Barking and Dagenham,4760,3448
E09000002,Barking and Dagenham,12267,12951
E09000002,Barking and Dagenham,8037,10854
E09000002,Barking and Dagenham,4879,3732
E09000002,Barking and Dagenham,5575,5759
E09000002,Barking and Dagenham,10070,10489
E09000002,Barking and Dagenham,15028,14690
E09000002,Barking and Dagenham,16128,16924
E09000002,Barking and Dagenham,14671,12877
E09000002,Barking and Dagenham,12542,12861
E09000002,Barking and Dagenham,6028,5648
E09000002,Barking and Dagenham,6601,8647
E09000002,Barking and Dagenham,3842,3492
E09000002,Barking and Dagenham,8992,10803
E09000002,Barking and Dagenham,8825,12202
E09000002,Barking and Dagenham,5639,7494
E09000002,Barking and Dagenham,8138,8795
E09000002,Barking and Dagenham,3117,1195
E09000002,Barking and Dagenham,3928,2525
E09000002,Barking and Dagenham,5994,8360
E09000002,Barking and Dagenham,5228,4785
E09000002,Barking and Dagenham,6549,7440
E09000002,Barking and Dagenham,4249,5037
E09000002,Barking and Dagenham,8124,8012
E09000002,Barking and Dagenham,7604,6032
E09000002,Barking and Dagenham,5571,6839
E09000002,Barking and Dagenham,6712,6909
E09000002,Barking and Dagenham,7176,6736
E09000002,Barking and Dagenham,6950,8297
E09000002,Barking and Dagenham,5475,6512
E09000002,Barking and Dagenham,2802,2125
E09000002,Barking and Dagenham,9781,11124
E09000002,Barking and Dagenham,6520,7943
E09000002,Barking and Dagenham,5791,6220
E09000002,Barking and Dagenham,4296,5065
E09000002,Barking and Dagenham,10329,10725
E09000002,Barking and Dagenham,13573,12329
E09000002,Barking and Dagenham,10421,13349
E09000002,Barking and Dagenham,17580,18292
E09000002,Barking and Dagenham,13531,14981
E09000002,Barking and Dagenham,15370,12518
E09000002,Barking and Dagenham,3974,4451
E09000002,Barking and Dagenham,4645,6133
E09000002,Barking and Dagenham,5870,4794
E09000002,Barking and Dagenham,5215,6873
E09000002,Barking and Dagenham,5451,6177
E09000002,Barking and Dagenham,3967,3973
E09000002,Barking and Dagenham,5874,5086
E09000002,Barking and Dagenham,6057,5141
E09000002,Barking and Dagenham,6596,7274
E09000002,Barking and Dagenham,7738,9449
E09000002,Barking and Dagenham,9100,9753
E09000002,Barking and Dagenham,6111,6904
E09000002,Barking and Dagenham,4315,5030
E09000002,Barking and Dagenham,5838,7390
E09000002,Barking and Dagenham,4822,5632
E09000002,Barking and Dagenham,6122,5212
E09000002,Barking and Dagenham,8574,10790
E09000002,Barking and Dagenham,8508,9981
E09000002,Barking and Dagenham,8873,8855
E09000002,Barking and Dagenham,3669,3775
E09000002,Barking and Dagenham,6348,5804
E09000002,Barking and Dagenham,2669,3596
E09000002,Barking and Dagenham,8930,9003
E09000002,Barking and Dagenham,6984,6925
E09000002,Barking and Dagenham,3997,3651
E09000002,Barking and Dagenham,4866,5351
E09000002,Barking and Dagenham,4455,4575
E09000002,Barking and Dagenham,8373,8476
E09000002,Barking and Dagenham,7152,9665
E09000002,Barking and Dagenham,4126,3849
E09000002,Barking and Dagenham,3557,3043
E09000002,Barking and Dagenham,6708,8028
E09000002,Barking and Dagenham,6002,5419
E09000002,Barking and Dagenham,3229,4221
E09000002,Barking and Dagenham,3355,3032
E09000002,Barking and Dagenham,8865,10392
E09000002,Barking and Dagenham,8940,8694
E09000002,Barking and Dagenham,10373,13637
E09000002,Barking and Dagenham,16365,14678
E09000002,Barking and Dagenham,8544,8457
E09000002,Barking and Dagenham,10925,12627
E09000002,Barking and Dagenham,10601,10322
E09000002,Barking and Dagenham,11855,13863
