name,address,latitude,longitude,rating,reviews_count,place_id,price_level,types,borough,Code,Value,Code_earnings,Pay_2021,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Income Rank (where 1 is most deprived)
CIRCA VINTAGE,"87a Lansdowne Way, London",51.4748348,-0.1286932,4.7,9,ChIJmdDiKHUPdkgR9QrMOgW2vjc,,"jewelry_store, home_goods_store, clothing_store, store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,76,ChIJTzZgDuAEdkgR7NUgOuToH4k,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,4,ChIJ5x9QqWgEdkgRQM3g8mE6ay8,,"clothing_store, store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
ReBelished,"36 Hammersmith Grove, London",51.49541499999999,-0.2262493,0.0,0,ChIJ79eAhtQPdkgRO5DhIpyyhhM,,"clothing_store, store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,45,ChIJhe7IZxoFdkgRb3pI8hrLrlw,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,0,ChIJkyWVQOAFdkgR8P2a09hdgJs,,"clothing_store, store, point_of_interest, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,0.0,0,ChIJH0yA_ucEdkgRhBret09TiSg,,"beauty_salon, furniture_store, home_goods_store, clothing_store, store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,3,ChIJm4FwAmYEdkgREDglbBsIgK8,,"clothing_store, store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,35,ChIJo9d0O_cPdkgRt78JxXP26rc,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Jama Vintage Clothing Co.,"43 Tooting High St, London",51.428933,-0.166585,0.0,0,ChIJ3f03rNIHdkgRUIaozCwNpKc,,"clothing_store, store, point_of_interest, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,0,ChIJBaNCz80PdkgRRKHGfyNzLBU,,"clothing_store, store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,28,ChIJ_Vd-wa4FdkgRZSgRs9unlrY,,"electronics_store, home_goods_store, clothing_store, store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
