,Shop_Name,Address,Latitude,Longitude,Rating,Borough,Property_Value_2017,Earnings_2021
0,Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,4.2877224199288255,Wandsworth,640000.0,746.7
1,Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
2,Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,Lambeth,510000.0,673.6
3,BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
4,INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,Hammersmith and Fulham,740000.0,714.5
5,NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,Wandsworth,640000.0,746.7
6,Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,Hammersmith and Fulham,740000.0,714.5
7,R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
8,Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,Hammersmith and Fulham,740000.0,714.5
9,Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,Wandsworth,640000.0,746.7
10,43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,Wandsworth,640000.0,746.7
11,Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,Hammersmith and Fulham,740000.0,714.5
12,Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,Wandsworth,640000.0,746.7
13,Ebury Trading,"Lavender Hill, London",51.4651588,-0.1550034,5.0,Wandsworth,640000.0,746.7
14,Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,Hammersmith and Fulham,740000.0,714.5
15,Black Tie White Noise,"62 Fulham High St, London",51.4703604,-0.2107931,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
16,HOWE Warehouse,"Unit 15B, Bldg B Parkfield Industrial Estate, Culvert Pl, London",51.4711469,-0.1544732,4.2877224199288255,Wandsworth,640000.0,746.7
17,The Shop,"645-649 Garratt Lane, London",51.4366231,-0.1865754,3.3,Wandsworth,640000.0,746.7
18,New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,Hammersmith and Fulham,740000.0,714.5
19,ShonaMac.com,"8 Bellevue Rd, London",51.44577210000001,-0.1658887,4.5,Wandsworth,640000.0,746.7
20,Artiquea Gallery,"82 Wandsworth Bridge Rd., London",51.4738719,-0.1922307,5.0,Hammersmith and Fulham,740000.0,714.5
21,331,"331 Garratt Lane, London",51.44639429999999,-0.189165,4.4,Wandsworth,640000.0,746.7
22,Retro Furniture & Services,"338 Balham High Rd, London",51.4358639,-0.1596233,5.0,Wandsworth,640000.0,746.7
23,Saluto London,"Battersea Business Centre, London",51.4650292,-0.1549833,5.0,Wandsworth,640000.0,746.7
24,Gutlin Clocks & Antiques,"606 King's Rd, London",51.4784546,-0.1891004,5.0,Hammersmith and Fulham,740000.0,714.5
25,Vittorio Ragone Design,"533 King's Rd, London",51.4802725,-0.1854478,5.0,Kensington and Chelsea,1200000.0,767.0
27,Traid,"28 St John's Rd, London",51.4629956,-0.1679301,4.1,Wandsworth,640000.0,746.7
28,Boutique by Shelter,"49 Northcote Rd, London",51.4594101,-0.1662286,4.8,Wandsworth,640000.0,746.7
29,Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,Kensington and Chelsea,1200000.0,767.0
30,Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,Kensington and Chelsea,1200000.0,767.0
31,De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,Westminster,1070000.0,771.6
32,All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,Westminster,1070000.0,771.6
33,Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,Westminster,1070000.0,771.6
34,Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,Kensington and Chelsea,1200000.0,767.0
35,Field Antiques,"275 Lillie Rd, London",51.4829184,-0.2116797,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
36,Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,Kensington and Chelsea,1200000.0,767.0
37,Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
38,James McWhirter Antiques Ltd,"11 Langton St, London",51.4823176,-0.1807697,4.8,Kensington and Chelsea,1200000.0,767.0
39,Butterworth Christopher,"71 Pimlico Rd, London",51.490362,-0.1535057,3.7,Westminster,1070000.0,771.6
40,AntikBar - Original Vintage Posters,"404 King's Rd, London",51.4836155,-0.1771506,4.9,Kensington and Chelsea,1200000.0,767.0
41,Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,Kensington and Chelsea,1200000.0,767.0
42,Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,Westminster,1070000.0,771.6
43,Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,Kensington and Chelsea,1200000.0,767.0
44,282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,Kensington and Chelsea,1200000.0,767.0
45,Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,Kensington and Chelsea,1200000.0,767.0
46,Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,Kensington and Chelsea,1200000.0,767.0
47,Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,Kensington and Chelsea,1200000.0,767.0
48,Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
49,Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
50,Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,Kensington and Chelsea,1200000.0,767.0
51,One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,Kensington and Chelsea,1200000.0,767.0
52,LanaTS Clothing,"55 Baker St, London",51.5187355,-0.1567089,4.2877224199288255,Westminster,1070000.0,771.6
53,Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,Kensington and Chelsea,1200000.0,767.0
54,The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,Kensington and Chelsea,1200000.0,767.0
55,OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,4.2877224199288255,Westminster,1070000.0,771.6
56,Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,Kensington and Chelsea,1200000.0,767.0
57,Eddie Wailes Studio,"13 - 25 Church St, London",51.52421589999999,-0.1688751,4.2877224199288255,Westminster,1070000.0,771.6
58,Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,Kensington and Chelsea,1200000.0,767.0
59,Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,Kensington and Chelsea,1200000.0,767.0
60,Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,Kensington and Chelsea,1200000.0,767.0
61,Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,Kensington and Chelsea,1200000.0,767.0
62,Nikita Sablier,"79 George St, London",51.5171123,-0.1568565,4.2877224199288255,Westminster,1070000.0,771.6
63,Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,Kensington and Chelsea,1200000.0,767.0
64,One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
65,Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,Kensington and Chelsea,1200000.0,767.0
66,Retro Clothing Exchange,"28 Pembridge Rd, London",51.50983189999999,-0.1971427,2.9,Kensington and Chelsea,1200000.0,767.0
67,American Vintage,"185 Westbourne Grove, London",51.5145847,-0.1981431,3.8,Kensington and Chelsea,1200000.0,767.0
68,Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,Westminster,1070000.0,771.6
69,vintage clothing,London,51.52362549999999,-0.2067168,5.0,Kensington and Chelsea,1200000.0,767.0
70,Vintage Stockroom,"13 - 25 Church St, London",51.524127,-0.1688328,4.2877224199288255,Westminster,1070000.0,771.6
71,V 4 Vintage,"13-25 Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
72,Good,"180 Queensway, London",51.51557,-0.1880176,5.0,Westminster,1070000.0,771.6
