name,address,latitude,longitude,rating,borough
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,London
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,London
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,London
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,London
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,London
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,London
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,London
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,London
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,London
Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,London
43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,London
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,London
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,London
Ebury Trading,"Lavender Hill, London",51.4651588,-0.1550034,5.0,London
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,London
Black Tie White Noise,"62 Fulham High St, London",51.4703604,-0.2107931,0.0,London
HOWE Warehouse,"Unit 15B, Bldg B Parkfield Industrial Estate, Culvert Pl, London",51.4711469,-0.1544732,0.0,London
The Shop,"645-649 Garratt Lane, London",51.4366231,-0.1865754,3.3,London
New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,London
ShonaMac.com,"8 Bellevue Rd, London",51.44577210000001,-0.1658887,4.5,London
Artiquea Gallery,"82 Wandsworth Bridge Rd., London",51.4738719,-0.1922307,5.0,London
331,"331 Garratt Lane, London",51.44639429999999,-0.189165,4.4,London
Retro Furniture & Services,"338 Balham High Rd, London",51.4358639,-0.1596233,5.0,London
Saluto London,"Battersea Business Centre, London",51.4650292,-0.1549833,5.0,London
Gutlin Clocks & Antiques,"606 King's Rd, London",51.4784546,-0.1891004,5.0,London
Vittorio Ragone Design,"533 King's Rd, London",51.4802725,-0.1854478,5.0,London
Silk & Sawdust,"2 Michael Rd, London",51.47718039999999,-0.1865522,5.0,London
Traid,"28 St John's Rd, London",51.4629956,-0.1679301,4.1,London
Boutique by Shelter,"49 Northcote Rd, London",51.4594101,-0.1662286,4.8,London
Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,London
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,London
Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,London
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,London
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,London
De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,London
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,London
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,London
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,London
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,London
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,London
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,London
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,London
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,London
Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,London
Field Antiques,"275 Lillie Rd, London",51.4829184,-0.2116797,0.0,London
Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,London
Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,0.0,London
James McWhirter Antiques Ltd,"11 Langton St, London",51.4823176,-0.1807697,4.8,London
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,London
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,London
Butterworth Christopher,"71 Pimlico Rd, London",51.490362,-0.1535057,3.7,London
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,London
New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,London
AntikBar - Original Vintage Posters,"404 King's Rd, London",51.4836155,-0.1771506,4.9,London
Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,London
Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,London
Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,London
282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,London
Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,London
Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,London
Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,London
Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,0.0,London
Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,0.0,London
