,Shop_Name,Address,Latitude,Longitude,Rating,Reviews_Count,Place_ID,Price_Level,types,Borough,Property_Value_2017,Earnings_2021,IMD_Rank,Income_Rank,composite_score,Rating_normalized,Property_Value_2017_normalized,Earnings_2021_normalized,Reviews_Count_normalized,Price_Level_normalized,Rank
0,Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,434,ChIJWf0T1NQEdkgRG5oaSfx9paQ,2.0,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,1.0219239766081871,0.86,0.847953216374269,1.0,0.8611111111111112,0.5,1.0
1,Rokit Covent Garden,"42 Shelton St, London",51.5140748,-0.1244384,4.2,355,ChIJXYDtx8wEdkgRQxiyB6nzf2E,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.9202785454627562,0.8400000000000001,0.847953216374269,1.0,0.7043650793650794,0.03378378378378377,2.0
2,ATIKA,"55-59 Hanbury St, London",51.52037370000001,-0.0709477999999999,4.3,416,ChIJSYVmBrYcdkgRS8-DuFnCA_Q,3.0,"clothing_store, store, point_of_interest, establishment",Tower Hamlets,475000.0,680.3,10369.3125,9075.0,0.8422904130778183,0.86,0.15204678362573099,0.601310043668122,0.8253968253968254,1.0,3.0
3,Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,35,ChIJo9d0O_cPdkgRt78JxXP26rc,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.8121942444628035,0.9800000000000001,1.0,0.9799126637554584,0.06944444444444445,0.03378378378378377,4.0
4,AntikBar - Original Vintage Posters,"404 King's Rd, London",51.4836155,-0.1771506,4.9,21,ChIJqZf1S2UFdkgRKbUQ3cxlYgs,1.0675675675675675,"book_store, art_gallery, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.8038609111294701,0.9800000000000001,1.0,0.9799126637554584,0.041666666666666664,0.03378378378378377,5.0
5,Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,5,ChIJJ-Eh6x4QdkgRoN6mW7fvrfA,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.8023371016056606,1.0,1.0,0.9799126637554584,0.00992063492063492,0.03378378378378377,6.0
6,Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,45,ChIJhe7IZxoFdkgRb3pI8hrLrlw,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.8021466254151844,0.9400000000000001,1.0,0.9799126637554584,0.08928571428571429,0.03378378378378377,7.0
7,vintage clothing,London,51.52362549999999,-0.2067168,5.0,1,ChIJdXo0VsURdkgR2snk9q1QDRo,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7999561492247083,1.0,1.0,0.9799126637554584,0.001984126984126984,0.03378378378378377,8.0
8,Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,1,ChIJI0jCwR4QdkgR6TgNlG6H0Io,1.0675675675675675,"home_goods_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7999561492247083,1.0,1.0,0.9799126637554584,0.001984126984126984,0.03378378378378377,8.0
9,Bourbon Hanby Antique - Ian Towning,"151 Sydney St, London",51.4877693,-0.1690736,4.7,38,ChIJhe_nE2wFdkgREMkNqC-8iio,1.0675675675675675,"home_goods_store, jewelry_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7979799587485178,0.9400000000000001,1.0,0.9799126637554584,0.07539682539682539,0.03378378378378377,10.0
